project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
sqlite,processing/prev_ver/src/walker.c,processing/curr_ver/src/walker.c,0,0,3,0
sqlite,processing/prev_ver/src/mem1.c,processing/curr_ver/src/mem1.c,1,0,15,0
sqlite,processing/prev_ver/ext/rtree/rtree.c,processing/curr_ver/ext/rtree/rtree.c,15,0,39,5
sqlite,processing/prev_ver/ext/fts1/fulltext.c,processing/curr_ver/ext/fts1/fulltext.c,2,0,3,0
sqlite,processing/prev_ver/ext/fts1/fts1.c,processing/curr_ver/ext/fts1/fts1.c,4,0,5,0
sqlite,processing/prev_ver/ext/fts2/fts2.c,processing/curr_ver/ext/fts2/fts2.c,16,2,17,2
sqlite,processing/prev_ver/ext/fts3/fts3_tokenizer.c,processing/curr_ver/ext/fts3/fts3_tokenizer.c,3,2,5,0
sqlite,processing/prev_ver/ext/fts3/fts3_expr.c,processing/curr_ver/ext/fts3/fts3_expr.c,4,0,6,0
sqlite,processing/prev_ver/ext/fts3/fts3.c,processing/curr_ver/ext/fts3/fts3.c,17,3,21,4
sqlite,processing/prev_ver/ext/icu/icu.c,processing/curr_ver/ext/icu/icu.c,2,1,5,1
sqlite,processing/prev_ver/src/os_common.h,processing/curr_ver/src/os_common.h,5,0,3,0
sqlite,processing/prev_ver/src/pcache.h,processing/curr_ver/src/pcache.h,6,0,8,0
sqlite,processing/prev_ver/src/pager.h,processing/curr_ver/src/pager.h,5,0,8,0
sqlite,processing/prev_ver/src/sqliteInt.h,processing/curr_ver/src/sqliteInt.h,48,0,134,0
sqlite,processing/prev_ver/src/vdbe.h,processing/curr_ver/src/vdbe.h,6,0,18,0
sqlite,processing/prev_ver/src/vdbeInt.h,processing/curr_ver/src/vdbeInt.h,8,0,25,0
sqlite,processing/prev_ver/src/btree.h,processing/curr_ver/src/btree.h,5,0,13,0
sqlite,processing/prev_ver/src/os.h,processing/curr_ver/src/os.h,7,0,2,0
sqlite,processing/prev_ver/src/mutex.h,processing/curr_ver/src/mutex.h,1,0,2,0
postgres,processing/prev_ver/src/interfaces/ecpg/pgtypeslib/datetime.c,processing/curr_ver/src/interfaces/ecpg/pgtypeslib/datetime.c,2,0,0,0
postgres,processing/prev_ver/src/interfaces/ecpg/pgtypeslib/interval.c,processing/curr_ver/src/interfaces/ecpg/pgtypeslib/interval.c,19,0,0,0
postgres,processing/prev_ver/src/interfaces/ecpg/pgtypeslib/timestamp.c,processing/curr_ver/src/interfaces/ecpg/pgtypeslib/timestamp.c,25,0,5,0
postgres,processing/prev_ver/src/interfaces/ecpg/pgtypeslib/dt_common.c,processing/curr_ver/src/interfaces/ecpg/pgtypeslib/dt_common.c,17,8,3,0
postgres,processing/prev_ver/src/interfaces/ecpg/ecpglib/descriptor.c,processing/curr_ver/src/interfaces/ecpg/ecpglib/descriptor.c,5,0,9,0
postgres,processing/prev_ver/src/interfaces/ecpg/ecpglib/typename.c,processing/curr_ver/src/interfaces/ecpg/ecpglib/typename.c,0,0,2,0
postgres,processing/prev_ver/src/interfaces/ecpg/ecpglib/misc.c,processing/curr_ver/src/interfaces/ecpg/ecpglib/misc.c,21,0,18,0
postgres,processing/prev_ver/src/interfaces/ecpg/ecpglib/execute.c,processing/curr_ver/src/interfaces/ecpg/ecpglib/execute.c,3,0,9,0
postgres,processing/prev_ver/src/interfaces/ecpg/test/expected/pgtypeslib-num_test.c,processing/curr_ver/src/interfaces/ecpg/test/expected/pgtypeslib-num_test.c,0,0,2,0
postgres,processing/prev_ver/src/interfaces/ecpg/test/expected/compat_informix-dec_test.c,processing/curr_ver/src/interfaces/ecpg/test/expected/compat_informix-dec_test.c,0,0,2,0
postgres,processing/prev_ver/src/interfaces/ecpg/test/expected/pgtypeslib-num_test2.c,processing/curr_ver/src/interfaces/ecpg/test/expected/pgtypeslib-num_test2.c,0,0,2,0
postgres,processing/prev_ver/src/interfaces/libpq/fe-protocol2.c,processing/curr_ver/src/interfaces/libpq/fe-protocol2.c,2,0,3,0
postgres,processing/prev_ver/src/interfaces/libpq/fe-secure.c,processing/curr_ver/src/interfaces/libpq/fe-secure.c,29,5,21,4
postgres,processing/prev_ver/src/interfaces/libpq/fe-misc.c,processing/curr_ver/src/interfaces/libpq/fe-misc.c,20,0,19,0
postgres,processing/prev_ver/src/interfaces/libpq/fe-auth.c,processing/curr_ver/src/interfaces/libpq/fe-auth.c,29,0,23,0
postgres,processing/prev_ver/src/interfaces/libpq/fe-connect.c,processing/curr_ver/src/interfaces/libpq/fe-connect.c,38,1,56,4
postgres,processing/prev_ver/src/interfaces/libpq/fe-exec.c,processing/curr_ver/src/interfaces/libpq/fe-exec.c,2,0,3,0
postgres,processing/prev_ver/src/timezone/zic.c,processing/curr_ver/src/timezone/zic.c,5,0,11,2
postgres,processing/prev_ver/src/timezone/pgtz.c,processing/curr_ver/src/timezone/pgtz.c,6,0,2,0
postgres,processing/prev_ver/src/port/snprintf.c,processing/curr_ver/src/port/snprintf.c,0,0,11,0
postgres,processing/prev_ver/src/port/path.c,processing/curr_ver/src/port/path.c,8,2,20,2
postgres,processing/prev_ver/src/port/sprompt.c,processing/curr_ver/src/port/sprompt.c,9,1,8,1
postgres,processing/prev_ver/src/port/chklocale.c,processing/curr_ver/src/port/chklocale.c,10,0,13,1
postgres,processing/prev_ver/src/port/getaddrinfo.c,processing/curr_ver/src/port/getaddrinfo.c,17,0,16,0
postgres,processing/prev_ver/src/port/thread.c,processing/curr_ver/src/port/thread.c,12,0,6,0
postgres,processing/prev_ver/src/port/open.c,processing/curr_ver/src/port/open.c,2,0,4,0
postgres,processing/prev_ver/src/port/win32env.c,processing/curr_ver/src/port/win32env.c,1,0,0,0
postgres,processing/prev_ver/src/port/dirmod.c,processing/curr_ver/src/port/dirmod.c,19,4,10,2
postgres,processing/prev_ver/src/port/getopt.c,processing/curr_ver/src/port/getopt.c,5,0,2,0
postgres,processing/prev_ver/src/port/getopt_long.c,processing/curr_ver/src/port/getopt_long.c,1,0,0,0
postgres,processing/prev_ver/src/port/strerror.c,processing/curr_ver/src/port/strerror.c,0,0,27,0
postgres,processing/prev_ver/src/pl/tcl/pltcl.c,processing/curr_ver/src/pl/tcl/pltcl.c,4,0,1,0
postgres,processing/prev_ver/src/pl/plperl/plperl.c,processing/curr_ver/src/pl/plperl/plperl.c,5,0,11,6
postgres,processing/prev_ver/src/bin/psql/help.c,processing/curr_ver/src/bin/psql/help.c,10,0,5,0
postgres,processing/prev_ver/src/bin/psql/startup.c,processing/curr_ver/src/bin/psql/startup.c,2,0,0,0
postgres,processing/prev_ver/src/bin/psql/common.c,processing/curr_ver/src/bin/psql/common.c,9,0,2,0
postgres,processing/prev_ver/src/bin/psql/mainloop.c,processing/curr_ver/src/bin/psql/mainloop.c,0,0,4,3
postgres,processing/prev_ver/src/bin/psql/tab-complete.c,processing/curr_ver/src/bin/psql/tab-complete.c,4,0,13,0
postgres,processing/prev_ver/src/bin/psql/input.c,processing/curr_ver/src/bin/psql/input.c,15,0,13,0
postgres,processing/prev_ver/src/bin/pg_ctl/pg_ctl.c,processing/curr_ver/src/bin/pg_ctl/pg_ctl.c,22,1,28,3
postgres,processing/prev_ver/src/bin/pg_config/pg_config.c,processing/curr_ver/src/bin/pg_config/pg_config.c,17,0,0,0
postgres,processing/prev_ver/src/bin/pg_dump/dumputils.c,processing/curr_ver/src/bin/pg_dump/dumputils.c,6,0,0,0
postgres,processing/prev_ver/src/bin/pg_dump/pg_dumpall.c,processing/curr_ver/src/bin/pg_dump/pg_dumpall.c,2,2,0,0
postgres,processing/prev_ver/src/bin/pg_dump/pg_backup_custom.c,processing/curr_ver/src/bin/pg_dump/pg_backup_custom.c,10,2,1,0
postgres,processing/prev_ver/src/bin/pg_dump/pg_backup_archiver.c,processing/curr_ver/src/bin/pg_dump/pg_backup_archiver.c,13,4,5,1
postgres,processing/prev_ver/src/bin/pg_dump/pg_restore.c,processing/curr_ver/src/bin/pg_dump/pg_restore.c,0,0,1,0
postgres,processing/prev_ver/src/bin/pg_dump/pg_backup_tar.c,processing/curr_ver/src/bin/pg_dump/pg_backup_tar.c,13,0,15,0
postgres,processing/prev_ver/src/bin/pg_dump/pg_dump.c,processing/curr_ver/src/bin/pg_dump/pg_dump.c,3,0,3,2
postgres,processing/prev_ver/src/bin/scripts/common.c,processing/curr_ver/src/bin/scripts/common.c,9,0,0,0
